"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
果丹皮,321,1,77.4,0.8,16.7,2.6,1.5,0,150,25,0.02,0.03,0.7,3,1.85,312,115.5,52,66,11.6,0.35,0.73,0.51,41,0.59
果料酸奶,67,3.1,10.4,1.4,84.4,0,0.7,19,0,19,0.03,0.19,0.1,2,0.68,111,32.5,140,11,0.4,0.03,0.56,0.04,90,0.98
果味奶,20,1.9,1.4,0.8,95.5,0,0.4,0,0,0,0.01,0.07,0,0,0,63,37.4,88,5,0.1,0,0.17,0,39,6.52
海参,262,50.2,4.5,4.8,18.9,0,21.6,39,0,39,0.04,0.13,1.3,0,0,356,4967.8,0,1047,9,0.43,2.24,0.27,94,150
海参(水浸),24,6,0,0.1,93.5,0,0.5,11,0,11,0,0.03,0.3,0,0,41,80.9,240,31,0.6,0.04,0.27,0,10,5.79
海参(鲜),71,16.5,0.9,0.2,77.1,0,3.7,0,0,0,0.03,0.04,0.1,3.14,2.37,43,502.9,285,149,13.2,0.76,0.63,0.05,28,63.93
海带(干),77,1.8,17.3,0.1,70.5,6.1,4.2,0,240,40,0.01,0.1,0.8,0,0.85,761,327.4,348,129,4.7,1.14,0.65,0.14,52,5.84
海带(浸),14,1.1,2.1,0.1,94.1,0.9,1.7,0,310,52,0.02,0.1,0.9,0,0.08,222,107.6,241,61,3.3,1.47,0.66,0.03,29,4.9
海带(鲜),17,1.2,1.6,0.1,94.4,0.5,2.2,0,0,0,0.02,0.15,1.3,0,1.85,246,8.6,46,25,0.9,0.07,0.16,0,22,9.54
海冻菜,314,5.4,72.9,0.1,15.6,0,6,0,0,0,0.06,0.2,3.3,0,14.84,141,380.8,167,15,2,0.04,1.94,0.12,209,15.19
海鲋菜,314,5.4,72.9,0.1,15.6,0,6,0,0,0,0.06,0.2,3.3,0,14.84,141,380.8,167,15,2,0.04,1.94,0.12,209,15.19
海鲋鱼,108,17.1,3.8,2.7,75.4,0,1,17,0,17,0.04,0.09,2.5,0,0.68,290,41.2,79,41,1.3,0.06,1.94,0.08,193,14.31
海河乌江,191,17.6,1.3,12.8,66.9,0,1.4,5,0,5,0.19,0.12,6.5,0,0.33,228,65,15,46,2.2,0.03,1.2,0.07,324,80.36
海鲫鱼,206,17,3.6,13.7,64.3,0,1.4,0,0,0,0.02,0.02,4.3,0,1.06,133,15.8,69,30,1.9,0.07,0.58,0.19,193,28.8
海蛎肉,66,8.4,2.9,2.3,85.6,0,0.8,0,0,0,0.03,0.07,1.7,7.66,6.14,195,194,167,15,5.4,0.35,47.05,0,86,46.95
海鳗,122,18.8,0.5,5,74.6,0,1.1,22,0,22,0.06,0.07,3,0,1.7,266,95.8,28,27,0.7,0.03,0.8,0.07,159,25.85
海鳗鱼,122,18.8,0.5,5,74.6,0,1.1,22,0,22,0.06,0.07,3,0,1.7,266,95.8,28,27,0.7,0.03,0.8,0.07,159,25.85
海米,195,43.7,0,2.6,37.4,0,17,21,0,21,0.01,0.12,5,0,1.46,550,4891.9,555,236,11,0.77,3.82,2.33,666,75.4
海棠脯,286,0.6,70.4,0.2,25.8,2.2,0.8,0,60,10,0.02,0.05,0.3,0,1.11,144,200.5,19,12,3.1,0.13,0.27,0.19,10,0.29
海棠罐头,53,0.5,12.3,0.2,85.4,1.3,0.3,0,0,0,0,0,0,0,0,56,8.8,43,21,2.3,0.38,0.75,0.06,11,6.06
海棠果,73,0.3,17.4,0.2,79.9,1.8,0.4,0,710,118,0.05,0.03,0.2,20,0.25,263,0.6,15,13,0.4,0.11,0.04,0.11,16,0
海虾,79,16.8,1.5,0.6,79.3,0,1.8,0,0,0,0.01,0.05,1.9,0,2.79,228,302.2,146,46,3,0.11,1.44,0.44,196,56.41
海蜇皮,85,13.4,3.8,1.8,79.8,0,1.2,0,0,0,0.01,0.04,4,0,1.55,238,119,75,31,0.6,0.02,3.59,0.09,189,25.48
海蜇皮,33,3.7,3.8,0.3,76.5,0,15.7,0,0,0,0.03,0.05,0.2,2.13,0.25,160,325,150,124,4.8,0.44,0.55,0.12,30,15.54
海蜇头,74,6,11.8,0.3,69,0,12.9,14,0,14,0.07,0.04,0.3,2.82,2.17,331,467.7,120,114,5.1,1.76,0.42,0.21,22,16.6
蚶子,71,12.2,2.3,1.4,82.7,0,1.4,0,0,0,0,0.06,0.9,0.55,0.55,76,280.1,49,59,7.3,0.71,1.64,0.13,111,86.3
寒瓜,25,0.6,5.5,0.1,93.3,0.3,0.2,0,450,75,0.02,0.03,0.2,6,0.1,87,3.2,8,8,0.3,0.05,0.1,0.05,9,0.17
汉口白酒(49.6度),295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0
汉口小麦酒(40.7度),237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,2,0,0,0,0.08,0,0
旱芹,14,0.8,2.5,0.1,94.2,1.4,1,0,60,10,0.01,0.08,0.4,12,2.21,154,73.8,48,10,0.8,0.17,0.46,0.09,103,0
合锦菜,75,6,12.8,0,68.3,3.9,9,0,20,3,0.08,0.02,2,0,0.99,129,3077.3,102,40,2.6,0.48,0.74,0.1,85,2.4
河蚌,36,6.8,0.8,0.6,89.8,0,2,202,0,202,0.01,0.13,1,1.36,1.36,27,28.7,306,9,3.1,36.63,3.95,0.06,319,20.24
河鳗,181,18.6,2.3,10.8,67.1,0,1.2,0,0,0,0.02,0.02,3.8,0,3.6,207,58.8,42,34,1.5,0,1.15,0.18,248,33.66
河虾,84,16.4,0,2.4,78.1,0,3.9,48,0,48,0.04,0.03,0,0,5.33,329,133.8,325,60,4,0.27,2.24,0.64,186,29.65
河蚬,47,7,1.7,1.4,88.5,0,1.4,37,0,37,0.08,0.13,1.4,0.38,0.38,25,18.4,39,10,11.4,0.18,1.82,0.47,127,29.79
核桃(干),627,14.9,9.6,58.8,5.2,9.5,2,0,30,5,0.15,0.14,0.9,1,43.21,385,6.4,56,131,2.7,3.44,2.17,1.17,294,4.62
核桃(鲜),327,12.8,1.8,29.9,49.8,4.3,1.4,0,0,0,0.07,0.14,1.4,10,41.17,0,0,0,0,0,0,0,0,0,0
核桃薄脆,480,9.8,54.9,24.6,3.3,6.2,1.2,0,60,10,0.12,0.03,5.8,0,4.34,147,251.3,54,36,4.4,0.64,0.84,0.35,131,10.3
核桃仁,627,14.9,9.6,58.8,5.2,9.5,2,0,30,5,0.15,0.14,0.9,1,43.21,385,6.4,56,131,2.7,3.44,2.17,1.17,294,4.62
荷兰豆,27,2.5,3.5,0.3,91.9,1.4,0.4,0,480,80,0.09,0.04,0.7,16,0.3,116,8.8,51,16,0.9,0.48,0.5,0.06,19,0.42
黑鲷,106,17.9,2.7,2.6,75.2,0,1.6,12,0,12,0.02,0.1,3.5,0,1.08,261,103.9,186,36,2.3,0.26,1.2,0.08,304,31.53
黑豆,381,36.1,23.3,15.9,9.9,10.2,4.6,0,30,5,0.2,0.33,2,0,17.36,1377,3,224,243,7,2.83,4.18,1.56,500,6.79
黑麻香酥,436,5.6,67.3,16.1,6.8,3.3,0.9,274,0,274,0.03,0.01,0.6,0,3.74,104,36.5,89,50,7.1,0,0.67,0.44,107,2.5
黑米（稻米(紫)）,333,9.4,68.3,2.5,14.3,3.9,1.6,0,0,0,0.33,0.13,7.9,0,0.22,256,7.1,12,147,1.6,1.72,3.8,0.09,356,3.2
黑木耳,205,12.1,35.7,1.5,15.5,29.9,5.3,0,100,17,0.01,0.44,2.5,0,11.34,757,48.5,247,152,97.4,8.86,3.18,0.32,292,3.72
黑木耳(水发),21,1.5,3.4,0.2,91.8,2.6,0.5,0,20,3,0.06,0.05,0.2,1,7.51,52,8.5,34,57,5.5,0.97,0.53,0.04,12,0.46
黑洋酥,417,4.2,72.2,12.4,2.3,7.5,1.4,0,0,0,0,0,0,0,0,92,3.1,8,3,6.1,0.57,1.27,0.29,144,2.81
黑鱼,85,19.5,0,1.2,78.7,0,1.6,26,0,26,0.02,0.14,2.5,0,0.97,313,48.8,152,33,0.7,0.06,0.8,0.05,232,24.57
黑枣(无核),228,1.7,54.7,0.3,39,2.6,1.7,0,40,7,0,0,2.1,0,1.88,478,6.3,108,32,1.2,0.59,0.44,0.21,63,0.53
黑芝麻,531,19.1,10,46.1,5.7,14,5.1,0,0,0,0.66,0.25,5.9,0,50.4,358,8.3,780,290,22.7,17.85,6.13,1.77,516,4.7
红菜苔,29,2.9,4.3,0,91.1,0.9,0.8,0,80,13,0.05,0.04,0.9,57,0.51,221,1.5,26,15,2.5,0.5,0.9,0.12,60,8.43
红大虾,77,16,0,1.4,83.3,0,1.4,0,0,0,0.03,0.18,3,0,0,181,86.8,0,21,14.5,0,0.56,0.91,0,0
红豆馅,240,4.8,47.2,3.6,35.9,7.9,0.6,0,0,0,0.04,0.05,1.7,0,9.17,226,3.3,2,13,1,0.25,0.89,0.13,89,0.71
红果,95,0.5,22,0.6,73,3.1,0.8,0,100,17,0.02,0.02,0.4,53,7.32,299,5.4,52,19,0.9,0.24,0.28,0.11,24,1.22
红果(干),152,4.3,28.7,2.2,11.1,49.7,4,0,60,10,0.02,0.18,0.7,2,0.47,440,9.9,144,0,0.4,0.57,0.61,0.41,440,2.7
红果汁,157,0,38.7,0.2,61,0,0.1,0,0,0,0.15,0,0.1,0,0,10,19.1,5,4,0.3,0,0.03,0,1,0
红胡萝卜缨,73,1.7,15.7,0.4,82.2,0,0,0,970,162,0.04,0,0,41,3.65,493,74.6,350,33,8.1,0,0.67,0.12,39,0.89
红花,220,4.6,39.4,4.9,12,23.9,15.2,0,852000,142000,0.09,0.39,3.9,0,3.38,54,36,312,178,29.1,2.88,2.15,2.31,101,12.31
红烤鸭(罐头),240,22.4,0.1,16.7,59,0,1.8,37,0,37,0.05,0.19,3.5,0,0.22,142,472.3,25,14,1.7,0.11,1.38,0.1,136,3.84
红娘鱼,105,18,1.9,2.8,76.1,0,1.2,6,0,6,0.03,0.07,4.9,0,0.7,308,163.9,160,45,1.2,0.13,2.99,0.22,297,59.35
红皮葱,46,2.4,8.9,0.1,86.2,1.3,1.1,0,50,8,0.01,0.12,0.5,8,0,329,3.4,24,18,0,0.36,0.13,0.34,53,6.86
红皮萝卜(变萝卜),19,1.1,3.2,0.2,93.9,1,0.6,0,20,3,0.02,0.04,0.4,22,0.78,286,33.5,32,17,0.4,0.09,0.21,0.03,21,0.65
红皮萝卜(小水萝卜),26,1.2,5.2,0.1,91.6,1.2,0.7,0,20,3,0.02,0.04,0.6,24,1.8,167,68,45,22,0.6,0.1,0.29,0.04,33,1.07
红葡萄酒,68,0.1,0,0,0,0,0.1,0,0,0,0.04,0,0,0,0,8,2.6,12,4,0.2,0.04,0.03,0.02,2,0.08
红葡萄酒(12度),96,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,38,1.1,31,6,0.3,0.06,0.15,0,6,0.2
红三鱼,100,18.6,0,2.9,77.1,0,1.4,20,0,20,0.01,0.03,4.8,0,0.61,300,118,102,29,1.4,0.05,0.66,0.04,128,48.3
红薯,99,1.1,23.1,0.2,73.4,1.6,0.6,0,750,125,0.04,0.04,0.6,26,0.28,130,28.5,23,12,0.5,0.11,0.15,0.18,0.18,0.48
红糖,389,0.7,96.6,0,1.9,0,0.8,0,0,0,0.01,0,0.3,0,0,240,18.3,157,54,2.2,0.27,0.35,0.15,11,4.2
红苋菜,31,2.8,4.1,0.4,88.8,1.8,2.1,0,1490,248,0.03,0.1,0.6,30,1.54,340,42.3,178,38,2.9,0.35,0.7,0.07,63,0.09
红小豆,309,20.2,55.7,0.6,12.6,7.7,3.2,0,80,13,0.16,0.11,2,0,14.36,860,2.2,74,138,7.4,1.33,2.2,0.64,305,3.8
红鳟鱼,99,18.6,0.2,2.6,77,0,1.6,206,0,206,0.08,0,0,0,3.55,688,110,34,45,0,0.07,4.3,0.18,374,20.4
猴头菇(罐装),13,2,0.7,0.2,92.3,4.2,0.6,0,0,0,0.01,0.04,0.2,0,0.46,8,175.2,19,5,2.8,0.03,0.4,0.06,37,1.28
猴鱼,114,17.5,1.2,4.3,76,0,1,0,0,0,0.02,0.07,1.3,0,0.66,194,158.4,139,23,0.2,0.03,0.54,0.06,109,21.48
后肘(猪),320,17,0,28,57.6,0,0.6,8,0,8,0.37,0.18,2.6,0,0.48,188,76.8,6,12,1,0.01,1.77,0.19,142,6.87
后坐(火腿),330,16,4.9,27.4,47.9,0,3.8,46,0,46,0.28,0.09,8.6,0,0.8,220,1086.7,3,20,2.2,0.04,2.16,0.08,90,2.95
鲎,63,10.3,2.1,1.5,84.1,0,2,4,0,4,0.08,0.46,1.9,0,2.3,125,0,38,70,1.8,0.23,6.3,0.25,114,113.5
胡大瓜子(炒),581,24.1,21.2,44.4,1.8,4.3,4.2,0,0,0,0.12,0.1,18.9,0,14.97,674,445.1,284,176,6.9,1.9,2.82,0.89,315,7.1
胡椒粉,357,9.6,74.6,2.2,10.2,2.3,1.1,0,60,10,0.09,0.06,1.8,0,0,154,4.9,2,128,9.1,0.79,1.23,0.32,172,7.64
胡罗卜素王,130,0.1,32,0.2,67.1,0.5,0.1,0,2700,450,0,0.62,1,12,0,31,72.5,7,1,0.2,0,0.1,0.03,0,0.05
胡萝卜(红),37,1,7.7,0.2,89.2,1.1,0.8,0,4130,688,0.04,0.03,0.6,13,0.41,190,71.4,32,14,1,0.24,0.15,0.08,27,0.63
胡萝卜(黄),43,1.4,8.9,0.2,87.4,1.3,0.8,0,4010,668,0.04,0.04,0.2,16,0,193,25.1,32,7,0.5,0.07,0.22,0.03,16,2.8
胡萝卜(脱水),320,4.2,71.5,1.9,10.9,6.4,5.1,0,17250,2875,0.05,0.15,2.6,32,0,1117,300.7,458,82,8.5,0.75,0.29,0.81,118,4.06
胡麻,390,19.1,9.3,30.7,6.9,30.2,3.8,0,0,0,0.29,0.28,1,0,12.93,408,48.8,228,389,19.7,2.63,4.48,1.6,577,0
胡麻油,450,0,0,100,0,0,0,0,0,0,0,0,0,0,389.9,0,0.6,3,1,0.2,0.03,0.3,0.02,5,0
胡桃,627,14.9,9.6,58.8,5.2,9.5,2,0,30,5,0.15,0.14,0.9,1,43.21,385,6.4,56,131,2.7,3.44,2.17,1.17,294,4.62
胡子鲇,146,15.4,3.1,8,72.6,0,0.9,8,0,8,0.05,0.11,4.3,0,0.09,78,45.5,18,20,0.6,0.02,0.86,0.04,129,34.2
胡子鲶,102,17.3,0,3.7,78,0,1.1,0,0,0,0.03,0.1,2.5,0,0.54,351,49.6,42,22,2.1,0.03,0.53,0.09,195,27.49
葫芦,14,0.7,2.7,0.1,95.3,0.8,0.4,0,40,7,0.02,0.01,0.4,11,0,87,0.6,16,7,0.4,0.08,0.14,0.04,15,0.49
葫芦条(干),219,4.3,46.5,1.8,25.4,18.1,3.9,0,0,0,0.05,0.03,1.4,0,0,480,36.3,114,80,8,1.64,2.8,0.56,187,1.7
葫子(茄科),27,0.7,5.9,0.1,92.2,0.9,0.2,0,980,163,0.53,0.06,0.7,29,1.14,73,1.2,49,10,0,0,0.56,0.87,2,4.4
花豆(红),317,19.1,57.2,1.3,14.8,5.5,2.1,0,430,72,0.25,0,3,0,6.13,358,12.5,38,17,0.3,1.22,1.27,0.94,48,19.05
花豆(紫),315,17.2,58.4,1.4,13.2,7.4,2.4,0,280,47,0.14,0,2.7,0,9.64,641,19.6,221,120,5.9,1.08,3.4,0.92,169,74.06
花椒,258,6.7,37.8,8.9,11,28.7,6.9,0,140,23,0.12,0.43,1.6,0,2.47,204,47.4,639,111,8.4,3.33,1.9,1.02,69,1.96
花卷,217,6.4,45.6,1,45.7,0,1.3,0,0,0,0,0.02,1.1,0,0,83,95,19,12,0.4,0,0,9,72,6.17
花鲢鱼,100,15.3,4.7,2.2,76.5,0,1.3,34,0,34,0.04,0.11,2.8,0,2.65,229,60.6,82,26,0.8,0.08,0.76,0.07,180,19.47
花生(炒),589,21.9,17.3,48,4.1,6.3,2.4,0,60,10,0.13,0.12,18.9,0,12.94,563,34.8,47,171,1.5,1.44,2.03,0.68,326,3.9
花生(生),298,12.1,5.2,25.4,48.3,7.7,1.3,0,10,2,0,0.04,14.1,14,2.93,390,3.7,8,110,3.4,0.65,1.79,0.68,250,4.5
花生酱,594,6.9,22.3,53,0.5,3,14.3,0,0,0,0.01,0.15,2,0,2.09,99,2340,67,21,7.2,0,2.96,0.45,90,1.54
花生仁(炒),581,24.1,21.2,44.4,1.8,4.3,4.2,0,0,0,0.12,0.1,18.9,0,14.97,674,445.1,284,176,6.9,1.9,2.82,0.89,315,7.1
花生仁(生),563,25,16,44.3,6.9,5.5,2.3,0,30,5,0.72,0.13,17.9,2,18.09,587,3.6,39,178,2.1,1.25,2.5,0.95,324,3.94
花生油,899,0,0,99.9,0.1,0,0.1,0,0,0,0,0,0,0,42.06,1,3.5,12,2,2.9,0.33,8.48,0.15,15,2.29
花纹舌头,83,17.7,0.1,1.4,79.8,0,1.5,6,0,6,0.03,0.05,2.1,0,0.64,309,138.8,57,27,1.5,0.04,0.05,0.04,168,34.63
怀菊花,242,6,47.1,3.3,19.2,15.9,8.5,0,0,0,0.09,0.51,9.2,1,1.61,132,20.5,234,256,78,3.47,2.42,0.77,88,11.08
黄蛋糕,320,9.5,56.9,6,27,0.2,0.4,0,290,48,0.13,0.03,0.8,0,3.05,80,32,27,7,2.2,0.13,0.54,0.14,76,8
黄豆粉,418,32.8,30.5,18.3,6.7,7,4.7,0,380,63,0.31,0.22,2.5,0,33.69,1890,3.6,207,129,8.1,2,3.89,1.39,395,2.47
黄豆芽,44,4.5,3,1.6,88.8,1.5,0.6,0,30,5,0.04,0.07,0.6,8,0.8,160,7.2,21,21,0.9,0.34,0.54,0.14,74,0.96
黄豆玉米面,339,11.8,61.9,4.9,13.6,6.4,1.4,0,0,0,0.21,0.04,3.1,0,7.13,370,1.6,18,106,3.4,0.74,1.28,0.38,234,9.15
黄鲂,81,18.5,0.6,0.5,77.8,0,2.6,10,0,10,0.03,0.07,2,0,0.16,227,159.9,27,24,0.3,0.09,0.37,0.08,157,31.43
黄姑鱼,133,18.4,0,7,74,0,1.4,0,0,0,0.04,0.09,3.6,0,1.09,282,101.9,94,29,0.9,0.04,0.61,0.06,196,63.6
黄瓜,15,0.8,2.4,0.2,95.8,0.5,0.3,0,90,15,0.02,0.03,0.2,9,0.46,102,4.9,24,15,0.5,0.06,0.18,0.05,24,0.38
黄瓜(酱),24,3,2.2,0.3,76.2,1.2,17.1,0,180,30,0.06,0.01,0.9,0,0,299,3769.5,52,17,3.7,0.64,0.89,0.09,73,2.42
黄瓜(甜辣),99,2.8,21.6,0.2,62.7,1.2,11.5,0,0,0,0.07,0.03,0.4,0,0,157,0,96,27,4.1,0.42,0.47,0.09,53,0.8
黄河蜜瓜,5,0.4,0.8,0,95,3.2,0.6,0,180,30,0.02,0.01,0.5,15,0,0,0,0,0,0,0,0,0,0,0
黄鹤楼酒(39度),227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0
黄花菜,199,19.4,27.2,1.4,40.3,7.7,4,0,1840,307,0.05,0.21,3.1,10,4.92,610,59.2,301,85,8.1,0.1,3.99,0.37,216,4.22
黄花鱼子,124,17.8,7.1,2.7,71.6,0,0.8,0,0,0,0.01,0.06,3.7,0,1.48,202,250.4,59,19,6.4,0.1,1.48,0.08,166,16.09
黄酱,131,12.1,17.9,1.2,50.6,3.4,14.8,0,80,13,0.05,0.28,2.4,0,14.12,508,3606.1,70,48,7,1.11,1.25,0.48,160,12.26
黄酒,78,1.3,0,0,0,0,0,0,0,0,0.01,0.08,0,0,0,1,1.7,17,20,1.1,0.3,0.85,0.03,20,1
黄酒,78,1.6,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,2,1.5,12,30,0.1,0.03,0.33,0.03,29,1.2
黄酒,78,1.4,0,0,0,0,0.3,0,0,0,0.2,0.06,0.5,0,0,23,19,104,1,0.1,0.2,0.27,0.01,30,0.23
黄酒(13度),78,1.2,0,0,0,0,0.3,0,0,0,0.04,0.01,0,0,0,32,8.7,0,26,1.1,0.31,0.97,0,13,0
黄酒(绍兴15),85,0,0,0,0,0,0.2,0,0,0,0,0.04,0,0,0,69,4.2,15,0,1.3,0.5,0.39,0,30,0.26
黄酒肉(羊肉),277,23.8,0,20.2,59.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黄螺,106,19.8,4.5,1,70.7,0,4,2,0,2,0.06,1.02,2.1,0.33,0.33,297,129.4,55,32,3.3,0.42,2.21,1.05,140,27.52
黄毛籽,234,21,2.3,15.6,7.6,48.1,5.4,0,0,0,0,0,0,0,0,604,42.7,868,323,15.9,3.03,2.56,1.38,539,20.49
黄米,342,9.7,72.5,1.5,11.1,4.4,0.8,0,0,0,0.09,0.13,1.3,0,4.61,0,3.3,0,0,0,0.23,2.07,0.41,0,0
黄蘑,166,16.4,21.8,1.5,39.3,18.3,2.7,0,70,12,0.15,1,5.8,4,1.26,1953,0,11,91,22.5,3.09,5.26,0.46,194,1.09
黄皮,31,1.6,5.6,0.2,87.6,4.3,0.7,0,0,0,0.13,0.06,0,35,0,226,6.5,0,16,0.4,0.6,0.32,0.04,0,0.64
黄皮果,31,1.6,5.6,0.2,87.6,4.3,0.7,0,0,0,0.13,0.06,0,35,0,226,6.5,0,16,0.4,0.6,0.32,0.04,0,0.64
黄婆鸡(鱼),133,18.4,0,7,74,0,1.4,0,0,0,0.04,0.09,3.6,0,1.09,282,101.9,94,29,0.9,0.04,0.61,0.06,196,63.6
黄婆鱼,133,18.4,0,7,74,0,1.4,0,0,0,0.04,0.09,3.6,0,1.09,282,101.9,94,29,0.9,0.04,0.61,0.06,196,63.6
黄鳍鱼,124,17.8,7.1,2.7,71.6,0,0.8,0,0,0,0.01,0.06,3.7,0,1.48,202,250.4,59,19,6.4,0.1,1.48,0.08,166,16.09
黄秋葵,37,2,7.1,0.1,86.2,3.9,0.7,0,310,52,0.05,0.09,1,4,1.03,95,3.9,45,29,0.1,0.28,0.23,0.07,6,0.51
黄颡鱼,124,17.8,7.1,2.7,71.6,0,0.8,0,0,0,0.01,0.06,3.7,0,1.48,202,250.4,59,19,6.4,0.1,1.48,0.08,166,16.09
黄鳝,89,18,1.2,1.4,78,0,1.4,50,0,50,0.06,0.98,3.7,0,1.34,263,70.2,42,18,2.5,2.22,1.97,0.05,206,34.56
黄鳝(鳝丝),61,15.4,0,0.8,85.2,0,0.6,0,0,0,0.04,2.08,1.8,0,1.1,278,131,57,0,2.8,8.25,1.82,0.02,81,36.38
黄油,892,1.4,0,98.8,0.5,0,0.1,0,0,0,0,0.02,0,0,0,39,40.3,35,7,0.8,0.05,0.11,0.01,8,1.6
黄油渣,599,11.1,40,43.8,4.7,0,0.4,0,0,0,0.03,0.47,0.4,0,0,160,60.2,597,97,2.6,1.18,1.17,0.11,288,1.1
茴香(籽),251,14.5,21.6,11.8,8.9,33.9,9.3,0,320,53,0.04,0.36,7.1,0,0.7,1104,79.6,751,336,0.9,3.14,3.46,1.76,336,1.98
茴香菜,24,2.5,2.6,0.4,91.2,1.6,1.7,0,2410,402,0.06,0.09,0.8,26,0.94,149,186.3,154,46,1.2,0.1,0.73,0.04,23,0.77
茴香籽,251,14.5,21.7,11.8,8.8,33.9,9.3,0,320,53,0.04,0.36,2.5,0,0.7,490,79.6,490,336,2.9,3.14,3.46,1.76,241,1.98
混合油(菜+棕),895,0,1,99.9,0,0,0,0,0,0,0,0.09,0.1,0,12.05,2,10.5,75,24,4.1,0,1.27,0.12,0,2.1
混糖糕点,453,7.9,68.7,16.3,5.3,0.8,1,0,40,7,0.08,0.18,3,0,6.33,116,135.2,77,47,3.9,0.47,0.85,0.26,96,7.83
火鸡肝,143,20,3.1,5.6,69.9,0,1.4,0,0,0,0.06,1.21,43,0,1.13,244,128.6,3,27,20.7,0.13,1.74,0.02,225,36
火鸡腿,90,20.1,0,1.2,77.8,0,1.2,0,0,0,0.07,0.06,8.3,0,0.07,708,168.4,12,18,5.2,0.04,9.26,0.45,470,15.5
火鸡胸脯肉,103,22.4,2.8,0.2,73.6,0,1,0,0,0,0.04,0.03,16.2,0,0.35,227,93.7,39,49,1.1,0.03,0.52,0,116,9.9
火鸡肫,91,18.9,3.1,0.3,76.5,0,1.1,0,0,0,0.02,0.08,7.8,0,0.33,352,57,44,31,3.7,0.03,2.62,0,108,16.3
火腿,330,16,4.9,27.4,47.9,0,3.8,46,0,46,0.28,0.09,8.6,0,0.8,220,1086.7,3,20,2.2,0.04,2.16,0.08,90,2.95
火腿(金华火腿),318,16.4,0,28,48.7,0,6.8,20,0,20,0.51,0.18,4.8,0,0.18,389,233.4,9,23,2.1,0.05,2.26,0.1,125,13
火腿(熟),529,12.4,6.4,50.4,24.6,0,6.2,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藿香,189,10.5,25.5,5,12.7,37.6,8.7,0,600,100,0.05,0.54,3.5,1,0,47,45.9,436,234,7.4,38.6,2.12,2.22,183,1.1
机米,343,7.7,76.8,0.6,13.7,0.6,0.6,0,0,0,0.16,0.08,1.3,0,1.01,97,2.4,11,34,1.1,1.36,1.45,0.19,121,2.5
鸡,167,19.3,1.3,9.4,69,0,1,48,0,48,0.05,0.09,5.6,0,0.67,251,63.3,9,24,1.4,0.03,1.09,0.07,156,11.75
"鸡(母,一年内鸡)",256,20.3,5.8,16.8,56,0,1.1,139,0,139,0.05,0.04,8.8,0,1.34,275,62.2,2,19,1.2,0.04,1.46,0.09,120,0
"鸡(肉鸡,肥)",389,16.7,0.9,35.4,46.1,0,0.9,226,0,226,0.07,0.07,13.1,0,0,123,47.8,37,7,1.7,0.01,1.1,0.08,102,5.4
鸡(沙鸡),147,20,1.6,6.7,70.5,0,1.2,1,0,1,0.36,0.04,5.4,0,0,249,81.9,0,51,24.8,0.13,10.6,0,522,36.3
"鸡(土鸡,家养)",124,21.6,0,4.5,73.5,0,1.2,64,0,64,0.09,0.08,15.7,0,2.02,276,74.1,9,40,2.1,0.05,1.06,0.1,141,12.75
鸡(乌骨鸡),111,22.3,0.3,2.3,73.9,0,1.2,0,0,0,0.02,0.2,7.1,0,1.77,323,64,17,51,2.3,0.05,1.6,0.26,210,7.73
鸡翅,194,17.4,4.6,11.8,65.4,0,0.8,68,0,68,0.01,0.11,5.3,0,0.25,205,50.8,8,17,1.3,0.03,1.12,0.05,161,10.98
鸡蛋(白皮),138,12.7,1.5,9,75.8,0,1,310,0,310,0.09,0.31,0.2,0,1.23,98,94.7,48,14,2,0.03,1,0.06,176,16.55
鸡蛋(红皮),156,12.8,1.3,11.1,73.8,0,1,194,0,194,0.13,0.32,0.2,0,2.29,121,125.7,44,11,2.3,0.04,1.01,0.07,182,14.98
鸡蛋白,60,11.6,3.1,0.1,84.4,0,0.8,0,0,0,0.04,0.31,0.2,0,0.01,132,79.4,9,15,1.6,0.02,0.02,0.05,18,6.97
鸡蛋白(来亨),60,11.6,3.1,0.1,84.4,0,0.8,0,0,0,0.04,0.31,0.2,0,0.01,132,79.4,9,15,1.6,0.02,0.02,0.05,18,6.97
鸡蛋白(乌骨鸡),44,9.8,1,0.1,88.4,0,0.7,0,0,0,0,0.31,0.1,0,0,109,165.1,9,10,0,0.01,0.01,0.01,17,2.99
