"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
面包(多维),318,8.8,51.9,8.4,30.9,0,0,0,0,0,0.01,0.01,0,0,0.65,12,652.7,0,32,2.9,0.4,0.74,0.19,110,17
面包(法式牛角),375,8.4,53.1,14.3,21.3,1.5,1.4,0,0,0,0.05,0.01,0,0,3.75,103,352.3,83,29,1.7,0.38,0.61,0.24,93,18.2
面包(法式配餐),282,10,57.7,1.2,28.3,1,1.8,0,0,0,0.02,0,0,0,1.44,113,478.4,127,35,1.9,0.45,0.66,0.28,102,19.5
面包(果料),278,8.5,56.2,2.1,31.2,0.8,1.2,0,0,0,0.07,0.07,0,0,1.31,94,210.5,124,29,2,0.37,0.58,0.28,100,23.95
面包(黄油),329,7.9,54.7,8.7,27.3,0.9,0.5,0,0,0,0.03,0.02,0,0,5.45,92,14.5,35,22,1.5,0.29,0.5,0.18,94,3.4
面包(麦胚),246,8.5,50.8,1,38,0.1,1.6,0,0,0,0.03,0.01,0,0,0.88,92,457,75,24,1.5,0.35,0.49,0.17,88,19.9
面包(麦维),270,8.3,48.5,4.7,37.7,0.1,0.7,0,0,0,0.25,0.68,0,0,0,70,151,35,45,2,0.37,0.62,0.19,61,24.3
面包(维生素),279,8.8,48.3,5.6,36.1,0.3,0.9,0,0,0,0.02,0.58,0,0,0.28,85,256.4,0,27,1.6,0.38,0.99,0.33,107,21.8
面包(武斯羹),273,9.2,52.8,2.8,34.1,0.8,0.3,0,0,0,0,0.13,0,0,0.4,103,54.9,22,26,2.1,0.35,1.55,0.19,99,3.2
面包(咸),274,9.2,50.5,3.9,34.1,0.5,1.8,0,0,0,0.02,0.01,0,0,1.07,89,526,89,28,2.8,0.41,0.81,0.22,108,34.4
面包(椰圈),320,9.5,59.6,4.8,25.1,0.3,0.7,0,0,0,0.02,0.02,0,0,2.31,90,106.2,0,27,1.7,0.37,0.86,0.19,104,0
面包鱼,83,18.1,1.2,0.6,78.9,0,1.2,15,0,15,0.02,0.05,3,0,1.03,291,80.5,7.4,27,0.9,0.1,1.44,0.07,185,38.18
面蛋,84,1.6,18.4,0.5,74.5,3.3,1.7,0,130,22,0.03,0,0,0,4.11,237,3.8,206,33,4.3,0.22,1.07,4.71,56,2.87
面筋(水),140,23.5,11.4,0.01,63.5,0.9,0.6,0,0,0,0.1,0.07,1.1,0,0.65,69,15,76,26,4.2,0.86,1.76,0.5,133,1
面筋(油),490,26.9,39.1,25.1,7.1,1.3,0.5,0,0,0,0.03,0.05,2.2,0,7.18,45,29.5,29,40,2.5,1.28,2.29,0.14,98,22.8
面条(标准粉),280,8.5,58,1.6,29.7,1.5,0.7,0,0,0,0.35,0.1,3.1,0,0.47,161,3.4,13,61,2.6,1.35,1.07,0.04,142,0.4
面条(富强粉),285,9.3,59.5,1.1,29.2,0.4,0.5,0,0,0,0.18,0.04,2.2,0,0,102,1.5,24,29,2,0.56,0.83,0.22,92,17.3
面条(干),355,11,77.5,0.1,10.5,0.2,0.7,0,0,0,0.28,0.05,2.7,0,0,100,60.9,8,42,9.6,0.72,1.5,0.04,142,7.78
面条(虾蓉面),429,8.5,64.7,15.1,6.1,3.6,2,0,0,0,0,0.01,2.8,0,1.22,101,304.2,17,24,2,0,0,0.2,92,9.93
"面条(煮,富强粉)",109,2.7,24.2,0.2,72.6,0.1,0.2,0,0,0,0,0.01,1.8,0,0,15,26.9,4,10,0.5,0.2,0.21,0.45,25,0.2
面条鱼,119,17.2,0,5.6,76.2,0,2.6,0,0,0,0.03,0.05,0.2,0,1.86,246,8.6,46,25,0.9,0.07,0.16,0,22,9.54
面窝,293,5.2,44,10.7,38.1,0,2,0,0,0,0.01,0.01,0,0,1.53,95,154.8,38,21,0.4,0,0.01,0.19,77,10.5
